,train,val,test
0,normal_001,normal_068,normal_153
1,normal_004,test_085,normal_104
2,normal_005,normal_045,normal_016
3,normal_006,test_007,test_034
4,normal_007,normal_119,normal_051
5,normal_008,normal_124,normal_148
6,normal_009,normal_027,normal_098
7,normal_010,normal_063,test_103
8,normal_011,normal_143,normal_158
9,normal_013,normal_103,normal_159
10,normal_014,normal_046,normal_035
11,normal_015,normal_123,normal_146
12,normal_017,normal_071,normal_097
13,normal_018,normal_003,normal_026
14,normal_019,normal_114,test_018
15,normal_020,normal_030,normal_142
16,normal_021,normal_091,test_012
17,normal_022,normal_002,normal_117
18,normal_023,normal_154,normal_040
19,normal_024,test_056,normal_121
20,normal_025,test_088,normal_033
21,normal_028,normal_062,test_109
22,normal_029,test_042,normal_012
23,normal_031,test_057,normal_106
24,normal_032,tumor_003,tumor_095
25,normal_034,test_113,test_102
26,normal_036,tumor_096,test_082
27,normal_037,tumor_109,tumor_046
28,normal_038,tumor_017,test_002
29,normal_039,test_066,tumor_044
30,normal_041,tumor_062,tumor_050
31,normal_042,test_071,tumor_108
32,normal_043,tumor_039,tumor_053
33,normal_044,tumor_019,tumor_034
34,normal_047,tumor_078,test_068
35,normal_048,test_110,test_021
36,normal_049,test_094,test_027
37,normal_050,tumor_073,test_013
38,normal_052,tumor_025,tumor_024
39,normal_053,test_030,tumor_035
40,normal_054,,
41,normal_055,,
42,normal_056,,
43,normal_057,,
44,normal_058,,
45,normal_059,,
46,normal_060,,
47,normal_061,,
48,normal_064,,
49,normal_065,,
50,normal_066,,
51,normal_067,,
52,normal_069,,
53,normal_070,,
54,normal_072,,
55,normal_073,,
56,normal_074,,
57,normal_075,,
58,normal_076,,
59,normal_077,,
60,normal_078,,
61,normal_079,,
62,normal_080,,
63,normal_081,,
64,normal_082,,
65,normal_083,,
66,normal_084,,
67,normal_085,,
68,normal_087,,
69,normal_088,,
70,normal_089,,
71,normal_090,,
72,normal_092,,
73,normal_093,,
74,normal_094,,
75,normal_095,,
76,normal_096,,
77,normal_099,,
78,normal_100,,
79,normal_101,,
80,normal_102,,
81,normal_105,,
82,normal_107,,
83,normal_108,,
84,normal_109,,
85,normal_110,,
86,normal_111,,
87,normal_112,,
88,normal_113,,
89,normal_115,,
90,normal_116,,
91,normal_118,,
92,normal_120,,
93,normal_122,,
94,normal_125,,
95,normal_126,,
96,normal_127,,
97,normal_128,,
98,normal_129,,
99,normal_130,,
100,normal_131,,
101,normal_132,,
102,normal_133,,
103,normal_134,,
104,normal_135,,
105,normal_136,,
106,normal_137,,
107,normal_138,,
108,normal_139,,
109,normal_140,,
110,normal_141,,
111,normal_144,,
112,normal_145,,
113,normal_147,,
114,normal_149,,
115,normal_150,,
116,normal_151,,
117,normal_152,,
118,normal_155,,
119,normal_156,,
120,normal_157,,
121,normal_160,,
122,test_003,,
123,test_005,,
124,test_006,,
125,test_009,,
126,test_014,,
127,test_015,,
128,test_017,,
129,test_019,,
130,test_020,,
131,test_022,,
132,test_023,,
133,test_024,,
134,test_025,,
135,test_028,,
136,test_031,,
137,test_032,,
138,test_035,,
139,test_036,,
140,test_037,,
141,test_039,,
142,test_041,,
143,test_043,,
144,test_044,,
145,test_045,,
146,test_047,,
147,test_050,,
148,test_053,,
149,test_054,,
150,test_055,,
151,test_058,,
152,test_059,,
153,test_060,,
154,test_062,,
155,test_063,,
156,test_067,,
157,test_070,,
158,test_072,,
159,test_076,,
160,test_077,,
161,test_078,,
162,test_080,,
163,test_081,,
164,test_083,,
165,test_086,,
166,test_087,,
167,test_089,,
168,test_091,,
169,test_093,,
170,test_095,,
171,test_096,,
172,test_098,,
173,test_100,,
174,test_101,,
175,test_106,,
176,test_107,,
177,test_111,,
178,test_112,,
179,test_115,,
180,test_118,,
181,test_119,,
182,test_120,,
183,test_123,,
184,test_124,,
185,test_125,,
186,test_126,,
187,test_127,,
188,test_128,,
189,test_129,,
190,test_130,,
191,test_001,,
192,test_004,,
193,test_008,,
194,test_010,,
195,test_011,,
196,test_016,,
197,test_026,,
198,test_029,,
199,test_033,,
200,test_038,,
201,test_040,,
202,test_046,,
203,test_048,,
204,test_051,,
205,test_052,,
206,test_061,,
207,test_064,,
208,test_065,,
209,test_069,,
210,test_073,,
211,test_074,,
212,test_075,,
213,test_079,,
214,test_084,,
215,test_090,,
216,test_092,,
217,test_097,,
218,test_099,,
219,test_104,,
220,test_105,,
221,test_108,,
222,test_114,,
223,test_116,,
224,test_117,,
225,test_121,,
226,test_122,,
227,tumor_001,,
228,tumor_002,,
229,tumor_004,,
230,tumor_005,,
231,tumor_006,,
232,tumor_007,,
233,tumor_008,,
234,tumor_009,,
235,tumor_010,,
236,tumor_011,,
237,tumor_012,,
238,tumor_013,,
239,tumor_014,,
240,tumor_015,,
241,tumor_016,,
242,tumor_018,,
243,tumor_021,,
244,tumor_022,,
245,tumor_023,,
246,tumor_026,,
247,tumor_027,,
248,tumor_028,,
249,tumor_029,,
250,tumor_030,,
251,tumor_031,,
252,tumor_032,,
253,tumor_033,,
254,tumor_036,,
255,tumor_037,,
256,tumor_038,,
257,tumor_040,,
258,tumor_041,,
259,tumor_042,,
260,tumor_043,,
261,tumor_045,,
262,tumor_047,,
263,tumor_048,,
264,tumor_049,,
265,tumor_051,,
266,tumor_052,,
267,tumor_054,,
268,tumor_055,,
269,tumor_056,,
270,tumor_057,,
271,tumor_058,,
272,tumor_059,,
273,tumor_060,,
274,tumor_061,,
275,tumor_063,,
276,tumor_064,,
277,tumor_065,,
278,tumor_066,,
279,tumor_067,,
280,tumor_068,,
281,tumor_069,,
282,tumor_070,,
283,tumor_071,,
284,tumor_072,,
285,tumor_074,,
286,tumor_075,,
287,tumor_076,,
288,tumor_077,,
289,tumor_079,,
290,tumor_080,,
291,tumor_081,,
292,tumor_082,,
293,tumor_083,,
294,tumor_084,,
295,tumor_085,,
296,tumor_086,,
297,tumor_087,,
298,tumor_088,,
299,tumor_089,,
300,tumor_090,,
301,tumor_091,,
302,tumor_092,,
303,tumor_093,,
304,tumor_094,,
305,tumor_097,,
306,tumor_098,,
307,tumor_099,,
308,tumor_100,,
309,tumor_101,,
310,tumor_102,,
311,tumor_103,,
312,tumor_104,,
313,tumor_105,,
314,tumor_106,,
315,tumor_107,,
316,tumor_110,,
317,tumor_111,,
