,train,val,test
0,normal_001,normal_031,normal_019
1,normal_002,test_062,normal_005
2,normal_003,test_028,test_022
3,normal_004,normal_105,test_070
4,normal_006,normal_100,normal_121
5,normal_007,normal_011,normal_079
6,normal_008,normal_139,normal_094
7,normal_009,normal_098,normal_040
8,normal_010,normal_053,normal_116
9,normal_012,normal_017,test_059
10,normal_013,normal_071,normal_111
11,normal_014,normal_135,normal_034
12,normal_015,normal_158,normal_044
13,normal_016,normal_151,normal_036
14,normal_018,normal_080,test_056
15,normal_020,normal_153,test_035
16,normal_021,normal_117,normal_152
17,normal_022,test_017,normal_127
18,normal_023,test_123,normal_109
19,normal_024,normal_093,test_042
20,normal_025,normal_090,test_096
21,normal_026,normal_118,test_018
22,normal_027,test_053,normal_138
23,normal_028,test_077,normal_140
24,normal_029,tumor_014,tumor_055
25,normal_030,tumor_054,tumor_040
26,normal_032,test_108,tumor_010
27,normal_033,tumor_008,test_048
28,normal_035,test_029,test_094
29,normal_037,tumor_070,test_105
30,normal_038,tumor_077,tumor_095
31,normal_039,tumor_073,tumor_069
32,normal_041,test_033,test_102
33,normal_042,test_071,tumor_084
34,normal_043,tumor_082,tumor_039
35,normal_045,test_021,tumor_045
36,normal_046,test_069,tumor_098
37,normal_047,tumor_042,tumor_107
38,normal_048,tumor_060,tumor_048
39,normal_049,tumor_001,test_064
40,normal_050,,
41,normal_051,,
42,normal_052,,
43,normal_054,,
44,normal_055,,
45,normal_056,,
46,normal_057,,
47,normal_058,,
48,normal_059,,
49,normal_060,,
50,normal_061,,
51,normal_062,,
52,normal_063,,
53,normal_064,,
54,normal_065,,
55,normal_066,,
56,normal_067,,
57,normal_068,,
58,normal_069,,
59,normal_070,,
60,normal_072,,
61,normal_073,,
62,normal_074,,
63,normal_075,,
64,normal_076,,
65,normal_077,,
66,normal_078,,
67,normal_081,,
68,normal_082,,
69,normal_083,,
70,normal_084,,
71,normal_085,,
72,normal_087,,
73,normal_088,,
74,normal_089,,
75,normal_091,,
76,normal_092,,
77,normal_095,,
78,normal_096,,
79,normal_097,,
80,normal_099,,
81,normal_101,,
82,normal_102,,
83,normal_103,,
84,normal_104,,
85,normal_106,,
86,normal_107,,
87,normal_108,,
88,normal_110,,
89,normal_112,,
90,normal_113,,
91,normal_114,,
92,normal_115,,
93,normal_119,,
94,normal_120,,
95,normal_122,,
96,normal_123,,
97,normal_124,,
98,normal_125,,
99,normal_126,,
100,normal_128,,
